id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
47937561,Loft Ipanema - 2 Quartos - Temporada,356952082,Andreza,,Ipanema,-2.298.406,-4.320.392,Entire home/apt,1057,5,8,2022-11-14,0.35,1,242
749896121198503817,Lindo 2 quartos no Leblon em frente ao metrô,8303861,Carlos Eduardo,,Leblon,-229.840.588,-432.228.149,Entire home/apt,1164,3,3,2022-12-12,1.96,29,301
762127964012296079,Apartamento com vista mar !,449260653,Daniel,,Recreio dos Bandeirantes,-2.303.175,-4.348.169,Entire home/apt,538,2,0,,,4,163
9332721,condo joaquim 510,4307081,Nereu A,,Ipanema,-229.876,-4.319.556,Entire home/apt,1697,1,1,2016-02-13,0.01,54,355
761560090639291148,"La Maison Bleue, casarão colonial na Zona Sul",292854242,Louise,,Laranjeiras,-2.293.422,-4.319.347,Entire home/apt,1900,3,0,,,1,354
32121989,Suíte Rio Stay Riocentro,222108450,Tatiana,,Camorim,-2.297.431,-4.341.528,Entire home/apt,454,2,54,2022-11-14,1.22,5,97
741248934756652056,Confortável Apartamento a 30m da praia do Recreio,475491380,Marcos,,Recreio dos Bandeirantes,-2.303.174,-434.813,Entire home/apt,300,2,0,,,1,331
9872782,IPANEMA BEST LOCATION 525 Apt 608,14095160,Claudia,,Ipanema,-2.298.289,-432.111,Entire home/apt,900,7,0,,,19,55
9148518,quiet & comfort by the beach,47634152,Solange,,Leme,-2.296.338,-4.317.107,Entire home/apt,300,30,24,2021-02-22,0.28,1,308
734737389506896832,Excelente apto nos arcos da lapa.,221461122,Fernanda,,Centro,-229.129.474,-431.812.563,Entire home/apt,457,2,2,2022-11-20,0.88,1,358
711691918338158251,Leblon Point do Rio 2qts,26005554,Serginho Rauen VizooBuzios,,Leblon,-2.298.516,-4.322.362,Entire home/apt,1000,3,9,2022-11-25,2.48,11,356
49872660,Melhor localização de Ipanema.,22860550,Oliver,,Ipanema,-2.298.231,-4.320.323,Entire home/apt,214,7,2,2022-07-09,0.32,3,126
668047790781199057,Vista Incrível pertinho da Olegário,153247889,Paulo,,Barra da Tijuca,-23.014.528.565.580.300,-4.330.983.716.994.520,Entire home/apt,401,2,3,2022-09-12,0.77,3,211
770994022354144619,Aconchegante studio na lapa,489600718,Maria Sarah,,Santa Teresa,-22.914.553.148.649.700,-4.318.412.236.869.330,Entire home/apt,179,1,0,,,1,335
752846797340185305,Quarto Lua duplo com varanda.,2125175,Eliete,,Barra da Tijuca,-23.012.585.142.830.400,-4.329.514.911.137.900,Private room,495,3,0,,,6,85
9918325,Apt Copacabana de frente para a praia 1005,30669035,Aldomir,,Leme,-2.296.362,-4.316.945,Entire home/apt,220,4,4,2019-01-25,0.06,8,0
15602866,Lugar aconchegante e confortável,100563757,Leonardo,,Méier,-2.289.925,-4.327.638,Private room,90,1,0,,,1,363
700841864977961164,Casa de dois quartos  próximo ao RiR,476581046,Israela,,Jacarepaguá,-2.295.672,-4.337.767,Entire home/apt,1543,3,0,,,1,365
692686767452211430,Casa agradável com piscina 15 min praia doRecreio,474832542,Elizabete,,Vargem Pequena,-2.299.032,-4.345.499,Entire home/apt,900,1,1,2022-09-10,0.27,1,358
689762902527211127,Comfortable & Safe place/B.Tijuca,46737288,Denise,,Barra da Tijuca,-2.300.562,-4.337.788,Private room,850,1,1,2022-09-11,0.27,1,363
51169417,Quarto com mobília,232403456,Roberto,,Rio Comprido,-2.292.453,-4.321.259,Private room,125,1,1,2022-09-13,0.28,1,364
2962403,Apartment near Maracanã and Subway,15092465,Flavia,,São Cristóvão,-2.290.721,-4.321.902,Private room,2900,1,2,2014-06-29,0.02,1,365
